frame_id,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,posture,action
3,1,600,374,932,559,standing,normal
3,2,936,291,1167,432,prone lying,normal
3,3,936,398,1145,563,side lying,normal
3,4,908,509,1111,627,side lying,normal
3,5,1002,174,1182,253,standing,diet
3,6,740,518,1000,662,side lying,normal
3,7,616,17,945,198,side lying,normal
3,8,1114,311,1199,543,prone lying,normal
4,1,600,375,929,559,standing,normal
4,2,936,291,1167,432,prone lying,normal
4,3,936,398,1145,563,side lying,normal
4,4,907,509,1110,627,side lying,normal
4,5,1002,174,1181,252,standing,diet
4,6,740,517,1000,662,side lying,normal
4,7,616,17,945,198,side lying,normal
4,8,1114,311,1199,543,prone lying,normal
5,1,601,377,926,558,standing,normal
5,2,936,291,1167,432,prone lying,normal
5,3,936,398,1145,563,side lying,normal
5,4,907,509,1110,627,side lying,normal
5,5,1001,173,1181,252,standing,diet
5,6,739,517,1001,662,side lying,normal
5,7,616,17,945,198,side lying,normal
5,8,1114,311,1199,543,prone lying,normal
6,1,602,379,923,557,standing,normal
6,2,935,291,1167,432,prone lying,normal
6,3,936,398,1145,563,side lying,normal
6,4,907,509,1111,627,side lying,normal
6,5,1000,173,1182,252,standing,diet
6,6,739,517,1001,662,side lying,normal
6,7,616,17,945,198,side lying,normal
6,8,1114,311,1199,543,prone lying,normal
7,1,601,380,921,556,standing,normal
7,2,935,291,1168,432,prone lying,normal
7,3,936,398,1145,563,side lying,normal
7,4,907,509,1111,627,side lying,normal
7,5,1001,172,1182,252,standing,diet
7,6,739,517,1001,662,side lying,normal
7,7,615,17,944,198,side lying,normal
7,8,1114,311,1199,543,prone lying,normal
8,1,600,380,921,555,standing,normal
8,2,935,291,1167,433,prone lying,normal
8,3,936,398,1145,563,side lying,normal
8,4,907,509,1111,627,side lying,normal
8,5,1001,172,1182,252,standing,diet
8,6,739,517,1001,662,side lying,normal
8,7,615,17,944,198,side lying,normal
8,8,1114,311,1199,543,prone lying,normal
9,1,599,381,919,555,standing,normal
9,2,935,291,1167,433,prone lying,normal
9,3,936,398,1145,563,side lying,normal
9,4,907,509,1111,627,side lying,normal
9,5,1001,172,1182,252,standing,diet
9,6,739,517,1001,663,side lying,normal
9,7,615,17,944,198,side lying,normal
9,8,1114,311,1199,543,prone lying,normal
10,1,597,381,918,554,standing,normal
10,2,935,291,1167,432,prone lying,normal
10,3,936,398,1145,563,side lying,normal
10,4,907,509,1110,627,side lying,normal
10,5,1000,172,1182,252,standing,diet
10,6,739,517,1001,663,side lying,normal
10,7,615,17,944,198,side lying,normal
10,8,1114,311,1199,543,prone lying,normal
11,1,597,382,916,552,standing,normal
11,2,935,291,1167,432,prone lying,normal
11,3,936,398,1145,563,side lying,normal
11,4,907,509,1110,627,side lying,normal
11,5,1000,172,1183,252,standing,diet
11,6,739,517,1001,663,side lying,normal
11,7,615,17,945,198,side lying,normal
11,8,1114,311,1199,543,prone lying,normal
12,1,595,382,915,551,standing,normal
12,2,935,291,1168,432,prone lying,normal
12,3,935,397,1145,563,side lying,normal
12,4,907,509,1110,627,side lying,normal
12,5,1000,172,1183,252,standing,diet
12,6,738,516,1002,663,side lying,normal
12,7,615,17,945,198,side lying,normal
12,8,1114,311,1199,543,prone lying,normal
13,1,593,382,914,551,standing,normal
13,2,935,291,1167,433,prone lying,normal
13,3,935,397,1145,563,side lying,normal
13,4,907,509,1110,627,side lying,normal
13,5,1000,172,1183,252,standing,diet
13,6,738,515,1002,663,side lying,normal
13,7,615,17,945,198,side lying,normal
13,8,1114,311,1199,543,prone lying,normal
14,1,590,382,913,550,standing,normal
14,2,935,291,1168,433,prone lying,normal
14,3,935,396,1145,563,side lying,normal
14,4,906,509,1110,627,side lying,normal
14,5,1000,172,1183,252,standing,diet
14,6,737,514,1003,663,side lying,normal
14,7,615,17,945,198,side lying,normal
14,8,1114,311,1199,543,prone lying,normal
15,1,588,383,913,550,standing,normal
15,2,935,291,1167,433,prone lying,normal
15,3,935,396,1145,563,side lying,normal
15,4,906,509,1110,627,side lying,normal
15,5,1000,172,1183,252,standing,diet
15,6,736,513,1003,663,side lying,normal
15,7,615,17,944,198,side lying,normal
15,8,1114,311,1199,543,prone lying,normal
16,1,586,383,912,549,standing,normal
16,2,935,291,1167,433,prone lying,normal
16,3,935,396,1145,563,side lying,normal
16,4,907,509,1110,627,side lying,normal
16,5,999,172,1184,252,standing,diet
16,6,736,512,1003,663,side lying,normal
16,7,615,17,944,198,side lying,normal
16,8,1114,311,1199,543,prone lying,normal
17,1,585,383,911,549,standing,normal
17,2,935,291,1167,433,prone lying,normal
17,3,935,396,1145,563,side lying,normal
17,4,907,509,1110,627,side lying,normal
17,5,999,172,1184,252,standing,diet
17,6,736,512,1003,663,side lying,normal
17,7,615,17,944,198,side lying,normal
17,8,1114,311,1199,543,prone lying,normal
18,1,583,384,909,548,standing,normal
18,2,935,291,1167,433,prone lying,normal
18,3,935,396,1145,563,side lying,normal
18,4,907,509,1110,627,side lying,normal
18,5,999,171,1184,252,standing,diet
18,6,735,511,1004,663,side lying,normal
18,7,615,17,944,198,side lying,normal
18,8,1114,311,1199,543,prone lying,normal
19,1,580,384,908,547,standing,normal
19,2,935,291,1167,433,prone lying,normal
19,3,935,396,1145,563,side lying,normal
19,4,907,509,1110,627,side lying,normal
19,5,1000,171,1184,252,standing,diet
19,6,735,510,1004,663,side lying,normal
19,7,615,17,945,198,side lying,normal
19,8,1113,311,1198,543,prone lying,normal
20,1,578,384,909,547,standing,normal
20,2,935,291,1167,433,prone lying,normal
20,3,935,396,1145,563,side lying,normal
20,4,907,509,1110,627,side lying,normal
20,5,1000,171,1184,252,standing,diet
20,6,734,509,1005,663,side lying,normal
20,7,615,17,944,198,side lying,normal
20,8,1113,311,1198,543,prone lying,normal
21,1,577,384,909,547,standing,normal
21,2,935,291,1167,433,prone lying,normal
21,3,934,396,1145,563,side lying,normal
21,4,907,509,1110,627,side lying,normal
21,5,1000,171,1184,252,standing,diet
21,6,735,508,1005,663,side lying,normal
21,7,615,17,944,198,side lying,normal
21,8,1113,311,1198,543,prone lying,normal
22,1,575,384,909,546,standing,normal
22,2,935,291,1167,433,prone lying,normal
22,3,935,396,1145,563,side lying,normal
22,4,907,509,1110,627,side lying,normal
22,5,1000,171,1184,252,standing,diet
22,6,735,507,1005,663,side lying,normal
22,7,615,17,944,198,side lying,normal
22,8,1113,311,1198,543,prone lying,normal
23,1,574,384,908,546,standing,normal
23,2,936,291,1166,432,prone lying,normal
23,3,935,396,1145,563,side lying,normal
23,4,907,509,1110,627,side lying,normal
23,5,1000,171,1184,252,standing,diet
23,6,735,507,1005,663,side lying,normal
23,7,615,17,944,198,side lying,normal
23,8,1113,311,1198,543,prone lying,normal
24,1,572,385,908,546,standing,normal
24,2,936,291,1166,432,prone lying,normal
24,3,934,396,1146,563,side lying,normal
24,4,907,509,1110,627,side lying,normal
24,5,999,171,1184,252,standing,diet
24,6,735,506,1005,663,side lying,normal
24,7,615,17,944,198,side lying,normal
24,8,1113,311,1198,543,prone lying,normal
25,1,571,385,907,546,standing,normal
25,2,935,291,1167,432,prone lying,normal
25,3,934,396,1146,563,side lying,normal
25,4,907,509,1110,627,side lying,normal
25,5,999,171,1184,252,standing,diet
25,6,736,506,1004,663,side lying,normal
25,7,615,17,945,198,side lying,normal
25,8,1113,311,1198,543,prone lying,normal
26,1,569,385,906,545,standing,normal
26,2,935,291,1167,432,prone lying,normal
26,3,934,395,1146,563,side lying,normal
26,4,906,509,1110,627,side lying,normal
26,5,999,170,1185,252,standing,diet
26,6,736,506,1004,663,side lying,normal
26,7,615,17,945,198,side lying,normal
26,8,1113,311,1198,543,prone lying,normal
27,1,568,386,905,545,standing,normal
27,2,935,291,1167,432,prone lying,normal
27,3,934,395,1146,563,side lying,normal
27,4,906,509,1110,627,side lying,normal
27,5,999,170,1185,252,standing,diet
27,6,737,507,1003,663,side lying,normal
27,7,615,17,945,198,side lying,normal
27,8,1113,311,1198,543,prone lying,normal
28,1,568,388,903,545,standing,normal
28,2,935,290,1167,433,prone lying,normal
28,3,934,395,1146,563,side lying,normal
28,4,906,509,1109,627,side lying,normal
28,5,999,170,1184,252,standing,diet
28,6,737,507,1002,663,side lying,normal
28,7,615,17,945,198,side lying,normal
28,8,1113,311,1198,543,prone lying,normal
29,1,567,389,902,544,standing,normal
29,2,935,291,1167,433,prone lying,normal
29,3,934,395,1147,563,side lying,normal
29,4,907,510,1110,627,side lying,normal
29,5,1000,170,1183,252,standing,diet
29,6,738,508,1001,663,side lying,normal
29,7,615,17,945,198,side lying,normal
29,8,1113,311,1198,543,prone lying,normal
30,1,566,390,900,544,standing,normal
30,2,935,291,1166,433,prone lying,normal
30,3,934,394,1147,563,side lying,normal
30,4,907,510,1110,627,side lying,normal
30,5,1000,170,1183,252,standing,diet
30,6,739,510,1000,663,side lying,normal
30,7,614,17,946,198,side lying,normal
30,8,1113,311,1198,543,prone lying,normal
31,1,564,391,900,544,standing,normal
31,2,934,291,1167,433,prone lying,normal
31,3,935,394,1147,563,side lying,normal
31,4,906,510,1110,627,side lying,normal
31,5,1000,170,1183,251,standing,diet
31,6,740,510,999,663,side lying,normal
31,7,614,17,946,199,side lying,normal
31,8,1113,311,1197,543,prone lying,normal
32,1,562,391,900,544,standing,normal
32,2,934,291,1167,433,prone lying,normal
32,3,934,394,1146,563,side lying,normal
32,4,907,510,1110,627,side lying,normal
32,5,1000,170,1183,251,standing,diet
32,6,740,510,999,663,side lying,normal
32,7,614,17,946,199,side lying,normal
32,8,1113,311,1197,543,prone lying,normal
33,1,560,391,900,544,standing,normal
33,2,934,291,1167,434,prone lying,normal
33,3,935,395,1146,563,side lying,normal
33,4,907,510,1110,627,side lying,normal
33,5,1000,170,1183,251,standing,diet
33,6,740,511,999,663,side lying,normal
33,7,614,17,946,199,side lying,normal
33,8,1114,311,1198,543,prone lying,normal
34,1,559,391,900,544,standing,normal
34,2,934,291,1167,434,prone lying,normal
34,3,935,395,1145,563,side lying,normal
34,4,906,510,1110,626,side lying,normal
34,5,1000,171,1183,252,standing,diet
34,6,741,511,999,663,side lying,normal
34,7,614,17,946,199,side lying,normal
34,8,1114,311,1198,543,prone lying,normal
35,1,558,391,900,543,standing,normal
35,2,934,291,1167,434,prone lying,normal
35,3,935,395,1145,563,side lying,normal
35,4,906,510,1111,627,side lying,normal
35,5,1000,171,1183,252,standing,diet
35,6,741,512,999,663,side lying,normal
35,7,614,17,946,199,side lying,normal
35,8,1114,311,1198,543,prone lying,normal
36,1,557,392,900,543,standing,normal
36,2,935,291,1166,433,prone lying,normal
36,3,935,395,1145,563,side lying,normal
36,4,906,510,1111,627,side lying,normal
36,5,1000,171,1183,252,standing,diet
36,6,741,512,999,663,side lying,normal
36,7,614,17,946,199,side lying,normal
36,8,1114,311,1198,543,prone lying,normal
37,1,555,392,899,543,standing,normal
37,2,935,291,1166,433,prone lying,normal
37,3,935,395,1145,563,side lying,normal
37,4,906,510,1111,626,side lying,normal
37,5,1000,172,1183,253,standing,diet
37,6,741,512,999,663,side lying,normal
37,7,614,17,946,199,side lying,normal
37,8,1114,311,1198,543,prone lying,normal
38,1,553,392,898,543,standing,normal
38,2,935,291,1166,432,prone lying,normal
38,3,934,395,1145,563,side lying,normal
38,4,906,510,1111,627,side lying,normal
38,5,1000,172,1183,253,standing,diet
38,6,741,513,999,663,side lying,normal
38,7,614,17,946,199,side lying,normal
38,8,1113,311,1198,543,prone lying,normal
39,1,551,391,899,542,standing,normal
39,2,935,291,1166,432,prone lying,normal
39,3,934,396,1145,563,side lying,normal
39,4,906,509,1111,627,side lying,normal
39,5,1000,172,1183,253,standing,diet
39,6,741,513,997,662,side lying,normal
39,7,614,17,946,199,side lying,normal
39,8,1113,311,1198,543,prone lying,normal
40,1,549,391,899,542,standing,normal
40,2,935,291,1166,431,prone lying,normal
40,3,934,396,1144,563,side lying,normal
40,4,905,509,1112,627,side lying,normal
40,5,1001,172,1183,253,standing,diet
40,6,742,514,997,662,side lying,normal
40,7,614,17,945,199,side lying,normal
40,8,1113,311,1198,543,prone lying,normal
41,1,549,391,898,541,standing,normal
41,2,937,291,1164,429,prone lying,normal
41,3,934,396,1144,563,side lying,normal
41,4,905,509,1112,627,side lying,normal
41,5,1001,172,1183,253,standing,diet
41,6,742,515,996,661,side lying,normal
41,7,614,17,945,199,side lying,normal
41,8,1113,311,1198,543,prone lying,normal
42,1,549,391,896,540,standing,normal
42,2,937,291,1164,429,prone lying,normal
42,3,934,396,1145,563,side lying,normal
42,4,905,508,1112,627,side lying,normal
42,5,1001,172,1183,253,standing,diet
42,6,741,515,997,661,side lying,normal
42,7,614,17,945,199,side lying,normal
42,8,1113,311,1197,543,prone lying,normal
43,1,547,391,896,539,standing,normal
43,2,937,291,1164,428,prone lying,normal
43,3,934,396,1145,563,side lying,normal
43,4,905,508,1112,627,side lying,normal
43,5,1001,172,1183,253,standing,diet
43,6,741,514,998,662,side lying,normal
43,7,614,17,945,199,side lying,normal
43,8,1113,311,1197,543,prone lying,normal
44,1,546,391,897,540,standing,normal
44,2,937,291,1164,428,prone lying,normal
44,3,934,395,1145,563,side lying,normal
44,4,905,508,1112,627,side lying,normal
44,5,1002,172,1182,252,standing,diet
44,6,741,514,997,662,side lying,normal
44,7,614,17,945,199,side lying,normal
44,8,1114,311,1198,543,prone lying,normal
45,1,545,391,897,540,standing,normal
45,2,937,291,1164,428,prone lying,normal
45,3,934,395,1145,563,side lying,normal
45,4,905,508,1112,627,side lying,normal
45,5,1001,171,1183,252,standing,diet
45,6,740,514,999,662,side lying,normal
45,7,614,17,945,199,side lying,normal
45,8,1114,311,1198,543,prone lying,normal
46,1,546,394,895,541,standing,normal
46,2,936,291,1165,428,prone lying,normal
46,3,934,395,1145,563,side lying,normal
46,4,905,508,1112,627,side lying,normal
46,5,1001,171,1183,252,standing,diet
46,6,740,514,999,662,side lying,normal
46,7,615,17,945,199,side lying,normal
46,8,1114,311,1198,543,prone lying,normal
47,1,547,399,892,543,standing,normal
47,2,936,291,1165,429,prone lying,normal
47,3,933,394,1146,563,side lying,normal
